key,ticker,type,description,priority,estimated-duration,key:technician
# base entity
task-00,my-usernaa,MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod",5,20,technician-01
# type - standard variations
task-01,my-usernab,INSPECTION,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod",5,20,technician-01
task-02,my-usernac,REPAIR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod",5,20,technician-01
task-03,my-usernad,SYSTEM_CHECK,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod",5,20,technician-01
# description - standard variations
task-04,my-usernae,MAINTENANCE,L,5,20,technician-01
task-05,my-usernaf,MAINTENANCE,Lo,5,20,technician-01
task-06,my-usernag,MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",5,20,technician-01
task-07,my-usernah,MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",5,20,technician-01
task-08,my-usernai,MAINTENANCE,โลเร็ม อิปซัม,5,20,technician-01
task-09,my-usernaj,MAINTENANCE,لوريم إيبسوم,5,20,technician-01
task-10,my-usernak,MAINTENANCE,洛伦·伊普森,5,20,technician-01
task-11,my-usernal,MAINTENANCE,"<marquee>Hacked</marquee>",5,20,technician-01
task-12,my-usernam,MAINTENANCE,"<script>alert(‘Hacked!’);</script>",5,20,technician-01
task-13,my-usernan,MAINTENANCE,"' or 'A' = 'A ",5,20,technician-01
# priority - standard variations
task-14,my-usernao,MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod",0,20,technician-01
task-15,my-usernap,MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod",1,20,technician-01
task-16,my-usernaq,MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod",9,20,technician-01
task-17,my-usernar,MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod",10,20,technician-01
# estimated-duration - standard variations
task-18,my-usernas,MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod",5,0,technician-01
task-19,my-usernat,MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod",5,1,technician-01
task-20,my-usernau,MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod",5,999,technician-01
task-21,my-usernav,MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod",5,1000,technician-01
# technician - standard variations
task-22,my-usernaw,MAINTENANCE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod",5,20,technician-02
